#{"t_start": 1777564348.779322, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,1.095876
-200.0,200,1.104891
-200.0,200,1.114094
-200.0,200,1.147401
-200.0,200,1.161428
-200.0,200,1.486382
-200.0,200,1.681608
-200.0,200,1.87533
-200.0,200,2.071326
-200.0,200,2.255713
-200.0,200,2.449986
-200.0,200,2.63325
-200.0,200,2.83683
-200.0,200,3.022579
-200.0,200,3.231467
-200.0,200,3.422804
-200.0,200,3.628255
-200.0,200,3.816038
-200.0,200,4.01598
-200.0,200,4.199751
-200.0,200,4.399943
-200.0,200,4.593576
-200.0,200,4.792678
-200.0,200,4.98601
-200.0,200,5.19855
-200.0,200,5.38969
-200.0,200,5.595307
-200.0,200,5.796111
-200.0,200,6.008058
-200.0,200,6.203167
-200.0,200,6.405026
-200.0,200,6.601027
-200.0,200,6.820177
-200.0,200,7.018813
-200.0,200,7.231799
-200.0,200,7.431915
-200.0,200,7.657058
-200.0,200,7.854977
-200.0,200,8.071221
-200.0,200,8.286087
-200.0,200,8.509474
-200.0,200,8.707684
-200.0,200,8.917532
-200.0,200,9.119346
-200.0,200,9.341437
-200.0,200,9.543454
-200.0,200,9.768715
-200.0,200,9.975377
-200.0,200,10.20768
-200.0,200,10.409846
-200.0,200,11.042244
-200.0,200,11.26215
-200.0,200,11.494378
-200.0,200,11.714244
-200.0,200,11.944069
-200.0,200,12.159225
-200.0,200,12.395875
-200.0,200,12.610802
-200.0,200,12.845389
-200.0,200,13.064496
-200.0,200,13.303549
-200.0,200,13.524561
-200.0,200,13.766286
-200.0,200,13.993786
-200.0,200,14.239532
-200.0,200,14.470949
-200.0,200,14.708306
-200.0,200,14.933258
-200.0,200,15.181701
-200.0,200,15.415761
-200.0,200,15.666198
-200.0,200,15.896633
-200.0,200,16.139039
-200.0,200,16.363886
-200.0,200,16.611354
-200.0,200,16.843935
-200.0,200,17.100973
-200.0,200,17.330373
-200.0,200,17.582747
-200.0,200,17.819175
-200.0,200,18.08018
-200.0,200,18.317858
-200.0,200,18.567367
-200.0,200,18.80884
-200.0,200,19.067704
-200.0,200,19.311747
-200.0,200,19.568037
-200.0,200,19.818681
-200.0,200,20.086689
-200.0,200,20.378471
-200.0,200,20.700645
-200.0,200,21.005813
-200.0,200,21.266797
-200.0,200,21.509822
-200.0,200,21.789751
-200.0,200,22.080893
-200.0,200,22.38517
-200.0,200,22.649538
-200.0,200,22.910499
-152.0,152,23.1013
-200.0,200,23.808657
-200.0,200,24.115698
-200.0,200,24.453012
-200.0,200,24.773
-200.0,200,25.095958
-200.0,200,25.398331
-200.0,200,25.722027
-200.0,200,26.00285
-200.0,200,26.29374
-200.0,200,26.557181
-200.0,200,26.830568
-200.0,200,27.080231
-200.0,200,27.401287
-200.0,200,27.670861
-200.0,200,27.978978
-200.0,200,28.267762
-200.0,200,28.592979
-200.0,200,28.897301
-200.0,200,29.220874
-200.0,200,29.522583
-200.0,200,29.845718
-200.0,200,30.146811
-200.0,200,30.473072
-200.0,200,30.769892
-200.0,200,31.092835
-200.0,200,31.39858
-200.0,200,31.685967
-200.0,200,31.941998
-200.0,200,32.214607
-200.0,200,32.490307
-200.0,200,32.807312
-200.0,200,33.120319
-200.0,200,33.449675
-200.0,200,33.748482
-200.0,200,34.069973
-200.0,200,34.385168
-181.0,181,34.691673
-200.0,200,34.998349
-200.0,200,35.337719
-200.0,200,35.66333
-200.0,200,36.012147
-200.0,200,36.337284
-200.0,200,36.619121
-200.0,200,36.880743
-200.0,200,37.149302
-200.0,200,37.403427
-200.0,200,37.6645
-200.0,200,37.941027
-200.0,200,38.265963
-200.0,200,38.575854
-200.0,200,39.351156
-200.0,200,39.67044
-200.0,200,40.012182
-200.0,200,40.325836
-200.0,200,40.645323
-185.0,185,40.933954
-200.0,200,41.25494
-200.0,200,41.534192
-200.0,200,41.818357
-200.0,200,42.068961
