Input; Oracle; Reward; EpisodeLength; Sensitivity; Coverage; Generation; TestExecTime; CoverageTime; RunTime; CrashTime
[-0.46842477, 0.        ]; False; -98.0; 98; None; None; 0; 0.03521895408630371; None; 1768443207.05465; None
[-0.47260767, 0.        ]; False; -101.0; 101; 717.2049161055894; None; 0; 0.2618448734283447; None; 1768443207.05465; None
[-0.43585148, 0.        ]; False; -88.0; 88; None; None; 0; 0.027491331100463867; None; 1768443207.1578848; None
[-0.5460427, 0.       ]; True; -200.0; 200; 1016.4151389502307; None; 0; 0.07171440124511719; None; 1768443207.1578848; None
[-0.6, 0. ]; False; -107.0; 107; None; None; 0; 0.04279327392578125; None; 1768443207.2428029; None
[-0.5918053, 0.       ]; False; -107.0; 107; 0.0; None; 0; 0.0391688346862793; None; 1768443207.2428029; None
[-0.50257754, 0.        ]; True; -200.0; 200; None; None; 0; 0.07476162910461426; None; 1768443207.3637059; None
[-0.59669447, 0.        ]; False; -107.0; 107; 988.1325683018581; None; 0; 0.04242444038391113; None; 1768443207.3637059; None
[-0.4, 0. ]; False; -83.0; 83; None; None; 0; 0.02909398078918457; None; 1768443207.4281025; None
[-0.43734595, 0.        ]; False; -88.0; 88; 133.88334096759934; None; 0; 0.030517578125; None; 1768443207.4305084; None
[-0.42894745, 0.        ]; False; -86.0; 86; None; None; 0; 0.03403782844543457; None; 1768443207.4947534; None
[-0.41744888, 0.        ]; False; -85.0; 85; 86.96733259379828; None; 0; 0.030207157135009766; None; 1768443207.4957516; None
[-0.4634815, 0.       ]; False; -95.0; 95; None; None; 0; 0.037016868591308594; None; 1768443207.570176; None
[-0.47867283, 0.        ]; False; -108.0; 108; 855.7503496901343; None; 0; 0.036407470703125; None; 1768443207.570176; None
[-0.44080353, 0.        ]; False; -89.0; 89; None; None; 0; 0.02834010124206543; None; 1768443207.6342123; None
[-0.4541007, 0.       ]; False; -92.0; 92; 225.61190912167538; None; 0; 0.03435635566711426; None; 1768443207.6361508; None
[-0.5107527, 0.       ]; True; -200.0; 200; None; None; 0; 0.07551336288452148; None; 1768443207.7704585; None
[-0.491275, 0.      ]; False; -159.0; 159; 2104.9750628096494; None; 0; 0.05447888374328613; None; 1768443207.7714896; None
[-0.40311483, 0.        ]; False; -83.0; 83; None; None; 0; 0.032807111740112305; None; 1768443207.8331947; None
[-0.4129855, 0.       ]; False; -84.0; 84; 101.31016138041394; None; 0; 0.028898000717163086; None; 1768443207.8342211; None
[-0.43903226, 0.        ]; False; -88.0; 88; None; None; 0; 0.03576326370239258; None; 1768443207.902716; None
[-0.4368293, 0.       ]; False; -88.0; 88; 0.0; None; 0; 0.031381845474243164; None; 1768443207.902716; None
[-0.5807442, 0.       ]; False; -132.0; 132; None; None; 0; 0.04785323143005371; None; 1768443207.9919844; None
[-0.5994523, 0.       ]; False; -107.0; 107; 1336.3188581259758; None; 0; 0.04040026664733887; None; 1768443207.9919844; None
[-0.40302154, 0.        ]; False; -83.0; 83; None; None; 0; 0.03172802925109863; None; 1768443208.055582; None
[-0.42851916, 0.        ]; False; -86.0; 86; 117.6580617561872; None; 0; 0.030279159545898438; None; 1768443208.056583; None
[-0.5125656, 0.       ]; True; -200.0; 200; None; None; 0; 0.07816600799560547; None; 1768443208.1724489; None
[-0.5932829, 0.       ]; False; -107.0; 107; 1152.1698524085243; None; 0; 0.03397703170776367; None; 1768443208.1734505; None
[-0.45880872, 0.        ]; False; -94.0; 94; None; None; 0; 0.031844139099121094; None; 1768443208.2490637; None
[-0.4540689, 0.       ]; False; -92.0; 92; 421.95686673960336; None; 0; 0.04076886177062988; None; 1768443208.2505639; None
[-0.58028275, 0.        ]; False; -132.0; 132; None; None; 0; 0.04951310157775879; None; 1768443208.3581078; None
[-0.56486887, 0.        ]; False; -152.0; 152; 1297.5318056318204; None; 0; 0.05803084373474121; None; 1768443208.3596537; None
[-0.42003268, 0.        ]; False; -85.0; 85; None; None; 0; 0.03067302703857422; None; 1768443208.4255133; None
[-0.42736423, 0.        ]; False; -86.0; 86; 136.39680333000007; None; 0; 0.03368210792541504; None; 1768443208.4260852; None
[-0.53731275, 0.        ]; True; -200.0; 200; None; None; 0; 0.07103824615478516; None; 1768443208.5563235; None
[-0.49170774, 0.        ]; False; -159.0; 159; 899.0241542231662; None; 0; 0.057459354400634766; None; 1768443208.5570285; None
[-0.5313891, 0.       ]; True; -200.0; 200; None; None; 0; 0.0741877555847168; None; 1768443208.7084813; None
[-0.5400576, 0.       ]; True; -200.0; 200; 0.0; None; 0; 0.07297372817993164; None; 1768443208.709583; None
[-0.43779194, 0.        ]; False; -88.0; 88; None; None; 0; 0.029443025588989258; None; 1768443208.8098404; None
[-0.5154626, 0.       ]; True; -200.0; 200; 1441.9864307875775; None; 0; 0.07081437110900879; None; 1768443208.8098404; None
[-0.5557971, 0.       ]; False; -195.0; 195; None; None; 0; 0.07128405570983887; None; 1768443208.923311; None
[-0.5943361, 0.       ]; False; -107.0; 107; 2283.4016799236597; None; 0; 0.04218649864196777; None; 1768443208.923311; None
[-0.5747043, 0.       ]; False; -136.0; 136; None; None; 0; 0.057565927505493164; None; 1768443209.0367827; None
[-0.57514334, 0.        ]; False; -136.0; 136; 0.0; None; 0; 0.055905818939208984; None; 1768443209.0388846; None
[-0.44800177, 0.        ]; False; -90.0; 90; None; None; 0; 0.03322911262512207; None; 1768443209.11648; None
[-0.46587512, 0.        ]; False; -97.0; 97; 391.64461340936754; None; 0; 0.041361093521118164; None; 1768443209.11648; None
[-0.5181529, 0.       ]; True; -200.0; 200; None; None; 0; 0.06502318382263184; None; 1768443209.2158048; None
[-0.4705621, 0.       ]; False; -99.0; 99; 2122.2592727577867; None; 0; 0.031264305114746094; None; 1768443209.2158048; None
[-0.42013523, 0.        ]; False; -85.0; 85; None; None; 0; 0.024756431579589844; None; 1768443209.2845418; None
[-0.476923, 0.      ]; False; -105.0; 105; 352.18857600784264; None; 0; 0.04176187515258789; None; 1768443209.2845418; None
[-0.5686777, 0.       ]; False; -144.0; 144; None; None; 0; 0.04731416702270508; None; 1768443209.3961995; None
