Input; Oracle; Reward; EpisodeLength; Sensitivity; Coverage; Generation; TestExecTime; CoverageTime; RunTime; CrashTime
[-0.47260767, 0.        ]; False; -101.0; 101; None; None; 0; 0.10633444786071777; None; 1768397767.7073972; None
[-0.5460427, 0.       ]; True; -200.0; 200; None; None; 0; 0.06458258628845215; None; 1768397767.8177333; 0.1103360652923584
[-0.5918053, 0.       ]; False; -107.0; 107; None; None; 0; 0.03534984588623047; None; 1768397767.8823159; None
[-0.59669447, 0.        ]; False; -107.0; 107; None; None; 0; 0.03535771369934082; None; 1768397767.9186816; None
[-0.43734595, 0.        ]; False; -88.0; 88; None; None; 0; 0.027783632278442383; None; 1768397767.955025; None
[-0.41744888, 0.        ]; False; -85.0; 85; None; None; 0; 0.02840733528137207; None; 1768397767.9828086; None
[-0.47867283, 0.        ]; False; -108.0; 108; None; None; 0; 0.032853126525878906; None; 1768397768.011216; None
[-0.4541007, 0.       ]; False; -92.0; 92; None; None; 0; 0.03110980987548828; None; 1768397768.04507; None
[-0.491275, 0.      ]; False; -159.0; 159; None; None; 0; 0.04859447479248047; None; 1768397768.0781796; None
[-0.4129855, 0.       ]; False; -84.0; 84; None; None; 0; 0.025989770889282227; None; 1768397768.1289513; None
[-0.4368293, 0.       ]; False; -88.0; 88; None; None; 0; 0.03031611442565918; None; 1768397768.154941; None
[-0.5994523, 0.       ]; False; -107.0; 107; None; None; 0; 0.03132772445678711; None; 1768397768.1862578; None
[-0.42851916, 0.        ]; False; -86.0; 86; None; None; 0; 0.0281982421875; None; 1768397768.2175856; None
[-0.5932829, 0.       ]; False; -107.0; 107; None; None; 0; 0.03243827819824219; None; 1768397768.2457838; None
[-0.4540689, 0.       ]; False; -92.0; 92; None; None; 0; 0.03832530975341797; None; 1768397768.278222; None
[-0.56486887, 0.        ]; False; -152.0; 152; None; None; 0; 0.05344963073730469; None; 1768397768.3175478; None
[-0.42736423, 0.        ]; False; -86.0; 86; None; None; 0; 0.0290524959564209; None; 1768397768.3719969; None
[-0.49170774, 0.        ]; False; -159.0; 159; None; None; 0; 0.05332541465759277; None; 1768397768.4035535; None
[-0.5400576, 0.       ]; True; -200.0; 200; None; None; 0; 0.059561729431152344; None; 1768397768.456879; 0.7494816780090332
[-0.5154626, 0.       ]; True; -200.0; 200; None; None; 0; 0.05883193016052246; None; 1768397768.5164406; 0.8090434074401855
[-0.5943361, 0.       ]; False; -107.0; 107; None; None; 0; 0.036406517028808594; None; 1768397768.5793037; None
[-0.57514334, 0.        ]; False; -136.0; 136; None; None; 0; 0.04306912422180176; None; 1768397768.6157103; None
[-0.46587512, 0.        ]; False; -97.0; 97; None; None; 0; 0.026629209518432617; None; 1768397768.6597958; None
[-0.4705621, 0.       ]; False; -99.0; 99; None; None; 0; 0.03610658645629883; None; 1768397768.686425; None
[-0.476923, 0.      ]; False; -105.0; 105; None; None; 0; 0.03156161308288574; None; 1768397768.7225316; None
[-0.52326447, 0.        ]; True; -200.0; 200; None; None; 0; 0.06160688400268555; None; 1768397768.756093; 1.0486958026885986
[-0.40055802, 0.        ]; False; -83.0; 83; None; None; 0; 0.02736377716064453; None; 1768397768.819349; None
[-0.40383294, 0.        ]; False; -83.0; 83; None; None; 0; 0.025095462799072266; None; 1768397768.847686; None
[-0.4628916, 0.       ]; False; -95.0; 95; None; None; 0; 0.029105424880981445; None; 1768397768.8748393; None
[-0.46990815, 0.        ]; False; -99.0; 99; None; None; 0; 0.030394792556762695; None; 1768397768.9059482; None
[-0.46231064, 0.        ]; False; -95.0; 95; None; None; 0; 0.030282020568847656; None; 1768397768.9367; None
[-0.5222157, 0.       ]; True; -200.0; 200; None; None; 0; 0.05560731887817383; None; 1768397768.9687705; 1.2613732814788818
[-0.5729807, 0.       ]; False; -137.0; 137; None; None; 0; 0.0383450984954834; None; 1768397769.025381; None
[-0.45570233, 0.        ]; False; -93.0; 93; None; None; 0; 0.031250715255737305; None; 1768397769.0718434; None
[-0.49492913, 0.        ]; False; -158.0; 158; None; None; 0; 0.046714067459106445; None; 1768397769.1040945; None
[-0.53795165, 0.        ]; True; -200.0; 200; None; None; 0; 0.06309795379638672; None; 1768397769.1508086; 1.4434113502502441
[-0.50283295, 0.        ]; True; -200.0; 200; None; None; 0; 0.06345415115356445; None; 1768397769.2144098; 1.5070126056671143
[-0.42210242, 0.        ]; False; -85.0; 85; None; None; 0; 0.024407625198364258; None; 1768397769.277864; None
[-0.4131913, 0.       ]; False; -84.0; 84; None; None; 0; 0.027904987335205078; None; 1768397769.3022716; None
[-0.52844095, 0.        ]; True; -200.0; 200; None; None; 0; 0.06352114677429199; None; 1768397769.3301766; 1.622779369354248
[-0.48569402, 0.        ]; False; -163.0; 163; None; None; 0; 0.0517880916595459; None; 1768397769.3936977; None
[-0.5356261, 0.       ]; True; -200.0; 200; None; None; 0; 0.05698442459106445; None; 1768397769.4465008; 1.7391035556793213
[-0.48114, 0.     ]; False; -110.0; 110; None; None; 0; 0.03637337684631348; None; 1768397769.5072658; None
[-0.5324178, 0.       ]; True; -200.0; 200; None; None; 0; 0.06257033348083496; None; 1768397769.5443964; 1.8369991779327393
[-0.5216762, 0.       ]; True; -200.0; 200; None; None; 0; 0.061647653579711914; None; 1768397769.607967; 1.9005696773529053
[-0.42194512, 0.        ]; False; -85.0; 85; None; None; 0; 0.026334524154663086; None; 1768397769.6706147; None
[-0.55456847, 0.        ]; False; -195.0; 195; None; None; 0; 0.05661511421203613; None; 1768397769.6979506; None
[-0.47536257, 0.        ]; False; -104.0; 104; None; None; 0; 0.03002786636352539; None; 1768397769.7586176; None
