#{"t_start": 1763803982.7517095, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,1.375276
-200.0,200,1.386798
-200.0,200,1.397261
-200.0,200,1.447146
-200.0,200,1.459807
-200.0,200,1.947932
-200.0,200,2.183029
-200.0,200,2.381892
-200.0,200,2.609028
-200.0,200,2.807121
-200.0,200,3.023318
-200.0,200,3.226306
-200.0,200,3.453135
-200.0,200,3.663164
-200.0,200,3.891858
-200.0,200,4.10604
-200.0,200,4.348274
-200.0,200,4.565247
-200.0,200,4.795892
-200.0,200,5.014155
-200.0,200,5.267044
-200.0,200,5.495474
-200.0,200,5.765203
-200.0,200,6.014483
-200.0,200,6.298078
-200.0,200,6.53293
-200.0,200,6.767162
-200.0,200,6.989934
-200.0,200,7.24015
-200.0,200,7.476222
-200.0,200,7.730247
-200.0,200,7.974084
-200.0,200,8.234923
-200.0,200,8.470041
-200.0,200,8.712069
-200.0,200,8.938993
-200.0,200,9.192347
-200.0,200,9.415976
-200.0,200,9.658332
-200.0,200,9.893924
-200.0,200,10.146061
-200.0,200,10.376826
-200.0,200,10.608783
-200.0,200,10.848292
-200.0,200,11.171194
-200.0,200,11.555993
-200.0,200,11.85137
-200.0,200,12.160769
-200.0,200,12.462948
-200.0,200,12.713129
-200.0,200,13.535277
-200.0,200,13.796781
-200.0,200,14.098907
-200.0,200,14.362829
-200.0,200,14.627048
-200.0,200,14.886345
-200.0,200,15.181074
-200.0,200,15.438653
-200.0,200,15.70314
-200.0,200,16.05909
-200.0,200,16.382312
-200.0,200,16.668036
-200.0,200,16.938514
-200.0,200,17.251909
-200.0,200,17.562137
-200.0,200,17.817169
-200.0,200,18.079159
-200.0,200,18.456857
-200.0,200,18.738085
-200.0,200,18.99489
-200.0,200,19.270063
-200.0,200,19.536666
-200.0,200,19.838174
-200.0,200,20.110809
-200.0,200,20.494231
-200.0,200,20.753515
-200.0,200,21.052884
-200.0,200,21.3126
-200.0,200,21.597535
-200.0,200,21.921667
-200.0,200,22.374184
-200.0,200,22.646213
-200.0,200,22.932902
-200.0,200,23.198483
-200.0,200,23.495831
-200.0,200,23.765021
-200.0,200,24.04712
-145.0,145,24.377499
-200.0,200,24.68813
-200.0,200,24.960337
-200.0,200,25.246802
-200.0,200,25.513604
-200.0,200,25.807737
-200.0,200,26.075048
-200.0,200,26.491987
-200.0,200,26.757571
-200.0,200,27.070961
-200.0,200,27.416186
-200.0,200,27.726038
-200.0,200,28.003246
-200.0,200,29.109918
-200.0,200,29.386088
-200.0,200,29.67597
-200.0,200,29.944249
-200.0,200,30.243592
-200.0,200,30.514461
-200.0,200,30.907441
-200.0,200,31.173337
-200.0,200,31.478206
-200.0,200,31.885343
-200.0,200,32.418025
-200.0,200,32.94778
-200.0,200,33.509065
-200.0,200,34.056238
-200.0,200,34.735039
-200.0,200,35.306789
-200.0,200,36.329239
-200.0,200,37.174905
-200.0,200,37.803645
-200.0,200,38.615087
-200.0,200,39.257643
-200.0,200,39.740496
-200.0,200,40.248941
-200.0,200,40.788715
-200.0,200,41.231911
-200.0,200,41.529906
-200.0,200,42.055171
-200.0,200,42.458209
-200.0,200,42.792031
-200.0,200,43.098386
-200.0,200,43.616256
-200.0,200,44.039994
-200.0,200,44.643416
-200.0,200,45.272835
-188.0,188,45.751808
-200.0,200,46.12418
-119.0,119,46.334369
-200.0,200,46.64204
-200.0,200,47.057668
-200.0,200,47.578068
-200.0,200,48.052001
-156.0,156,48.281607
-200.0,200,48.633837
-200.0,200,48.977216
-200.0,200,49.321395
-200.0,200,49.734159
-200.0,200,50.063145
-200.0,200,50.366362
-200.0,200,50.710535
-200.0,200,51.009188
-200.0,200,52.698179
-200.0,200,53.128115
-193.0,193,53.43723
-200.0,200,53.706239
-200.0,200,54.026127
-147.0,147,54.251381
-200.0,200,54.571014
-200.0,200,54.992332
-200.0,200,55.277285
-183.0,183,55.557557
-200.0,200,55.91399
-200.0,200,56.214939
-200.0,200,56.505191
-200.0,200,56.94818
-200.0,200,57.252817
-200.0,200,57.554194
-200.0,200,57.841927
-200.0,200,58.14728
-200.0,200,58.453829
-186.0,186,58.835627
-200.0,200,59.158773
-194.0,194,59.465006
-200.0,200,59.792532
-179.0,179,60.056134
-200.0,200,60.357502
-200.0,200,60.65371
-163.0,163,61.012578
-200.0,200,61.34177
-200.0,200,61.64601
-200.0,200,61.978782
-200.0,200,62.30163
-200.0,200,62.62014
-200.0,200,63.062976
-200.0,200,63.388671
-200.0,200,63.698312
-200.0,200,64.007163
-139.0,139,64.215466
-200.0,200,64.538928
-200.0,200,64.980571
-200.0,200,65.321206
-164.0,164,65.592404
-200.0,200,65.933763
-200.0,200,66.257133
-121.0,121,66.455033
-200.0,200,66.876433
-200.0,200,67.206778
-200.0,200,67.509812
-200.0,200,67.828622
-200.0,200,68.138477
-200.0,200,68.460451
-200.0,200,68.888964
-200.0,200,69.175874
-200.0,200,69.900368
-90.0,90,70.04162
-200.0,200,70.349987
-200.0,200,70.697054
-200.0,200,71.08298
-200.0,200,71.395894
-200.0,200,71.685275
-200.0,200,71.992796
-200.0,200,72.285016
-200.0,200,72.592364
-152.0,152,72.960042
-200.0,200,73.265057
-200.0,200,73.533215
-200.0,200,73.841993
-200.0,200,74.144239
-200.0,200,74.497322
-200.0,200,74.898396
-148.0,148,75.159148
-200.0,200,75.465957
-200.0,200,75.794987
-200.0,200,76.122266
-200.0,200,76.459226
-200.0,200,76.920644
-131.0,131,77.133923
-200.0,200,77.474166
-200.0,200,77.777682
-200.0,200,78.098364
-194.0,194,78.391058
-200.0,200,78.672042
-164.0,164,79.03728
-144.0,144,79.24692
-200.0,200,79.525942
-200.0,200,79.826248
-149.0,149,80.040187
-200.0,200,80.343187
-200.0,200,80.637203
-143.0,143,80.970804
-200.0,200,81.29814
-200.0,200,81.632239
-200.0,200,81.898849
-200.0,200,82.187549
-166.0,166,82.423397
-200.0,200,82.810702
-200.0,200,83.129941
-200.0,200,83.427334
-200.0,200,83.691718
-178.0,178,83.945003
-200.0,200,84.219326
-192.0,192,84.485468
-145.0,145,84.702485
-130.0,130,84.986465
-200.0,200,85.271426
-200.0,200,85.560076
-143.0,143,85.762358
-200.0,200,86.528766
-200.0,200,86.955291
-135.0,135,87.145949
-200.0,200,87.416808
-190.0,190,87.706548
-186.0,186,87.973285
-147.0,147,88.171063
-200.0,200,88.447445
-200.0,200,88.852125
-200.0,200,89.112797
-200.0,200,89.392187
-200.0,200,89.676193
-171.0,171,89.932262
-200.0,200,90.198691
-179.0,179,90.458768
-141.0,141,90.638035
-200.0,200,91.055392
-136.0,136,91.235434
-198.0,198,91.51433
-136.0,136,91.713959
-109.0,109,91.91635
-200.0,200,92.255187
-148.0,148,92.453697
-158.0,158,92.685783
-186.0,186,93.054663
-133.0,133,93.254661
-200.0,200,93.527733
-116.0,116,93.69468
-154.0,154,93.929926
-200.0,200,94.237397
-188.0,188,94.486788
-200.0,200,94.900197
-200.0,200,95.174173
-121.0,121,95.36113
-200.0,200,95.654273
-200.0,200,95.960187
-200.0,200,96.254938
-145.0,145,96.468097
-200.0,200,96.919967
-109.0,109,97.06518
-158.0,158,97.332276
-200.0,200,97.648119
-121.0,121,97.835566
-145.0,145,98.033813
-188.0,188,98.303777
-200.0,200,98.597712
-200.0,200,99.02336
-117.0,117,99.194343
-142.0,142,99.401011
-87.0,87,99.515811
-200.0,200,99.808406
-200.0,200,100.081102
-200.0,200,100.398577
-200.0,200,100.660192
-200.0,200,101.071226
-111.0,111,101.228825
-148.0,148,101.439986
-200.0,200,101.711126
-200.0,200,102.420355
-200.0,200,102.807183
-200.0,200,103.150524
-150.0,150,103.350595
-194.0,194,103.608773
-117.0,117,103.782561
-192.0,192,104.06062
-200.0,200,104.338592
-200.0,200,104.619025
-150.0,150,104.946933
-200.0,200,105.225804
-200.0,200,105.51938
-111.0,111,105.68395
-178.0,178,105.945173
-200.0,200,106.248534
-200.0,200,106.520212
-126.0,126,106.788167
-197.0,197,107.101456
-178.0,178,107.359898
-121.0,121,107.548995
-197.0,197,107.826008
-200.0,200,108.142739
-161.0,161,108.430934
-200.0,200,108.789133
-189.0,189,109.110913
-112.0,112,109.283534
-200.0,200,109.604015
-119.0,119,109.768043
-166.0,166,110.002997
-200.0,200,110.30423
-180.0,180,110.576981
-200.0,200,110.999017
-137.0,137,111.197636
-121.0,121,111.371707
-123.0,123,111.542176
-165.0,165,111.794553
-200.0,200,112.100224
-200.0,200,112.411153
-147.0,147,112.637009
-130.0,130,112.937059
-177.0,177,113.22653
-173.0,173,113.517323
-114.0,114,113.71044
-129.0,129,113.890562
-127.0,127,114.073397
-110.0,110,114.235116
-184.0,184,114.502771
-148.0,148,114.811355
-117.0,117,115.000747
-200.0,200,115.291354
-128.0,128,115.487006
-138.0,138,115.683516
-179.0,179,115.944359
-187.0,187,116.234423
-126.0,126,116.41811
-195.0,195,116.751187
-158.0,158,117.037474
-187.0,187,117.308336
-200.0,200,117.600386
-105.0,105,117.768759
-140.0,140,118.252665
-157.0,157,118.505183
-139.0,139,118.826113
-200.0,200,119.155689
-98.0,98,119.313519
-156.0,156,119.526743
-138.0,138,119.728728
-114.0,114,119.903246
-199.0,199,120.218455
-131.0,131,120.415778
-168.0,168,120.658303
-171.0,171,121.042798
-162.0,162,121.26931
-134.0,134,121.455435
-111.0,111,121.624356
-169.0,169,121.883199
-154.0,154,122.112496
-154.0,154,122.329146
-200.0,200,122.625605
-101.0,101,122.896649
-156.0,156,123.130337
-99.0,99,123.285269
-200.0,200,123.583154
-162.0,162,123.832454
-166.0,166,124.06438
-192.0,192,124.392041
-120.0,120,124.582071
-170.0,170,124.954144
-200.0,200,125.25729
-113.0,113,125.425108
-152.0,152,125.65
-118.0,118,125.8201
-163.0,163,126.071801
-171.0,171,126.306397
