#{"t_start": 1763270716.7104821, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,1.153422
-200.0,200,1.165418
-200.0,200,1.173104
-200.0,200,1.213751
-200.0,200,1.227
-200.0,200,1.674822
-200.0,200,1.937313
-200.0,200,2.138543
-200.0,200,2.367611
-200.0,200,2.572558
-200.0,200,2.810585
-200.0,200,3.032979
-200.0,200,3.263608
-200.0,200,3.484486
-200.0,200,3.726138
-200.0,200,3.948853
-200.0,200,4.202288
-200.0,200,4.427367
-200.0,200,4.690748
-200.0,200,4.899007
-200.0,200,5.123911
-200.0,200,5.343226
-200.0,200,5.555526
-200.0,200,5.780602
-200.0,200,6.029149
-200.0,200,6.25871
-200.0,200,6.503356
-200.0,200,6.707594
-200.0,200,6.971026
-200.0,200,7.181997
-200.0,200,7.405874
-200.0,200,7.657633
-200.0,200,7.926766
-200.0,200,8.186624
-200.0,200,8.454245
-200.0,200,8.703845
-200.0,200,8.981477
-200.0,200,9.223174
-200.0,200,9.496568
-200.0,200,9.764044
-200.0,200,10.15373
-200.0,200,10.392767
-200.0,200,10.662419
-200.0,200,10.930315
-200.0,200,11.211799
-200.0,200,11.490782
-200.0,200,11.812493
-200.0,200,12.121505
-200.0,200,12.403751
-200.0,200,12.661926
-200.0,200,13.352324
-200.0,200,13.604781
-200.0,200,13.976753
-200.0,200,14.249204
-200.0,200,14.532268
-200.0,200,14.787463
-200.0,200,15.055491
-200.0,200,15.311494
-200.0,200,15.570749
-200.0,200,15.970867
-200.0,200,16.241204
-200.0,200,16.463367
-200.0,200,16.698951
-200.0,200,16.92908
-200.0,200,17.171791
-200.0,200,17.398313
-200.0,200,17.639643
-200.0,200,18.102556
-200.0,200,18.384358
-200.0,200,18.613265
-200.0,200,18.862215
-200.0,200,19.099654
-200.0,200,19.352036
-200.0,200,19.587141
-200.0,200,19.832995
-200.0,200,20.219559
-200.0,200,20.477018
-200.0,200,20.711247
-200.0,200,20.965331
-200.0,200,21.202548
-200.0,200,21.460643
-200.0,200,21.695281
-200.0,200,21.939864
-200.0,200,22.321209
-200.0,200,22.579594
-200.0,200,22.811735
-200.0,200,23.058682
-200.0,200,23.300758
-200.0,200,23.559196
-200.0,200,23.827401
-200.0,200,24.363861
-200.0,200,24.599129
-200.0,200,24.852183
-200.0,200,25.088001
-200.0,200,25.336723
-200.0,200,25.585234
-181.0,181,25.822955
-200.0,200,26.058525
-200.0,200,26.59018
-200.0,200,26.822443
-200.0,200,27.437239
-200.0,200,27.668793
-200.0,200,27.922054
-200.0,200,28.159037
-200.0,200,28.551036
-200.0,200,28.785164
-200.0,200,29.031776
-200.0,200,29.273927
-200.0,200,29.522344
-200.0,200,29.75477
-200.0,200,29.99891
-200.0,200,30.233993
-200.0,200,30.627926
-200.0,200,30.861024
-200.0,200,31.109296
-200.0,200,31.349927
-200.0,200,31.605551
-200.0,200,31.842544
-200.0,200,32.089369
-200.0,200,32.321513
-200.0,200,32.854305
-200.0,200,33.093257
-200.0,200,33.334214
-200.0,200,33.570525
-200.0,200,33.825603
-200.0,200,34.061922
-200.0,200,34.320662
-200.0,200,34.599455
-200.0,200,34.938343
-175.0,175,35.152209
-168.0,168,35.348476
-200.0,200,35.599705
-200.0,200,35.851199
-164.0,164,36.054191
-200.0,200,36.306552
-200.0,200,36.546058
-200.0,200,36.924947
-200.0,200,37.161671
-200.0,200,37.408653
-150.0,150,37.584223
-172.0,172,37.801933
-200.0,200,38.052118
-145.0,145,38.228732
-200.0,200,38.466494
-200.0,200,38.862617
-200.0,200,39.093365
-200.0,200,39.338845
-200.0,200,39.572115
-117.0,117,39.710521
-200.0,200,39.969988
-200.0,200,40.203646
-150.0,150,41.263782
-181.0,181,41.532608
-169.0,169,41.740344
-200.0,200,41.975133
-200.0,200,42.224683
-200.0,200,42.463246
-200.0,200,42.713369
-200.0,200,42.949477
-200.0,200,43.338436
-183.0,183,43.674777
-200.0,200,43.928493
-133.0,133,44.082788
-200.0,200,44.30989
-200.0,200,44.560315
-200.0,200,44.798227
-102.0,102,44.930622
-191.0,191,45.167788
-200.0,200,45.551917
-200.0,200,45.80581
-200.0,200,46.047374
-190.0,190,46.289914
-200.0,200,46.555889
-200.0,200,46.80764
-200.0,200,47.132094
-138.0,138,47.332844
-200.0,200,47.75381
-200.0,200,47.998869
-200.0,200,48.302268
-200.0,200,48.57383
-176.0,176,48.843229
-200.0,200,49.14125
-200.0,200,49.515968
-200.0,200,49.924761
-200.0,200,50.183043
-200.0,200,50.484189
-200.0,200,50.752788
-168.0,168,50.997978
-143.0,143,51.199023
-200.0,200,51.4874
-200.0,200,52.172467
-200.0,200,52.541488
-126.0,126,52.701689
-171.0,171,52.909936
-200.0,200,53.145771
-200.0,200,53.428831
-200.0,200,53.680187
-200.0,200,53.959774
-200.0,200,54.366222
-200.0,200,54.72422
-200.0,200,54.970463
-200.0,200,55.24624
-133.0,133,55.419844
-127.0,127,55.601575
-181.0,181,55.840617
-200.0,200,56.802886
-200.0,200,57.065667
-157.0,157,57.282326
-200.0,200,57.576746
-200.0,200,57.839144
-142.0,142,58.029132
-200.0,200,58.315526
-200.0,200,58.662831
-200.0,200,59.109856
-200.0,200,59.374602
-200.0,200,59.651344
-200.0,200,59.911343
-200.0,200,60.177569
-200.0,200,60.460865
-200.0,200,60.773053
-200.0,200,61.515601
-200.0,200,61.799337
-169.0,169,62.030159
-181.0,181,62.283675
-200.0,200,62.577705
-200.0,200,62.831759
-200.0,200,63.122754
-168.0,168,63.387448
-124.0,124,63.787178
-200.0,200,64.071034
-200.0,200,64.344443
-200.0,200,64.645083
-200.0,200,64.90824
-156.0,156,65.14082
-200.0,200,65.411315
-200.0,200,66.040497
-200.0,200,66.463278
-200.0,200,66.716313
-200.0,200,66.988029
-200.0,200,67.278216
-148.0,148,67.493783
-200.0,200,67.768586
-200.0,200,68.047309
-200.0,200,68.594548
-200.0,200,68.83172
-164.0,164,69.03375
-200.0,200,69.311609
-200.0,200,69.581013
-200.0,200,69.855087
-200.0,200,70.120502
-119.0,119,70.291175
-127.0,127,70.683807
-200.0,200,70.973673
-200.0,200,71.257798
-129.0,129,71.424535
-200.0,200,71.660295
-200.0,200,71.938861
-200.0,200,72.207672
-200.0,200,73.485863
-200.0,200,73.789756
-155.0,155,74.006839
-200.0,200,74.295675
-200.0,200,74.537888
-200.0,200,74.807577
-149.0,149,75.00938
-115.0,115,75.165236
-135.0,135,75.368817
-200.0,200,75.759184
-200.0,200,76.025204
-200.0,200,76.332328
-143.0,143,76.5398
-200.0,200,76.777615
-200.0,200,77.029038
-200.0,200,77.298638
-141.0,141,77.782322
-157.0,157,78.229379
-200.0,200,78.521019
-166.0,166,78.750429
-200.0,200,79.023183
-200.0,200,79.322104
-194.0,194,79.617485
-200.0,200,79.904012
-123.0,123,80.263478
-200.0,200,80.573874
-200.0,200,80.841581
-134.0,134,81.033407
-200.0,200,81.312955
-200.0,200,81.61485
-191.0,191,81.852788
-179.0,179,82.1068
-165.0,165,82.666741
-158.0,158,82.925798
-148.0,148,83.128946
-200.0,200,83.4015
-200.0,200,83.642177
-176.0,176,83.864975
-174.0,174,84.088217
-177.0,177,84.315384
-144.0,144,84.512272
-200.0,200,85.055063
-195.0,195,85.329818
-200.0,200,85.601038
-200.0,200,85.889209
-200.0,200,86.152811
-170.0,170,86.40133
-154.0,154,86.622448
-200.0,200,87.032962
-183.0,183,87.254472
-200.0,200,87.527016
-191.0,191,87.793494
-200.0,200,88.153069
-200.0,200,88.419587
-200.0,200,88.666155
-200.0,200,90.278648
-198.0,198,90.585347
-149.0,149,90.835075
-186.0,186,91.099257
-182.0,182,91.339657
-200.0,200,91.634984
-200.0,200,91.923189
-177.0,177,92.266303
-136.0,136,92.478612
-159.0,159,92.693637
-162.0,162,92.926147
-200.0,200,93.193475
-195.0,195,93.451158
-200.0,200,93.722314
-105.0,105,93.873426
-174.0,174,94.114296
-200.0,200,94.365036
-200.0,200,94.652138
-200.0,200,94.918477
-200.0,200,95.210908
-200.0,200,95.476065
-174.0,174,95.717453
-154.0,154,95.957213
-200.0,200,96.323004
-197.0,197,96.674093
-142.0,142,96.877358
-118.0,118,97.054241
-158.0,158,97.274123
-105.0,105,97.404032
-200.0,200,97.682794
-190.0,190,97.933501
-124.0,124,98.080634
-108.0,108,98.211682
-166.0,166,98.438392
-96.0,96,98.565608
-116.0,116,98.714788
-150.0,150,98.89041
-122.0,122,99.034517
-101.0,101,99.171519
-99.0,99,99.301208
-146.0,146,99.479357
-136.0,136,99.672426
-120.0,120,99.829875
-153.0,153,100.029833
-120.0,120,100.180895
-98.0,98,100.303883
-200.0,200,100.568647
-179.0,179,100.812217
-114.0,114,101.03119
-131.0,131,101.279319
-112.0,112,101.427594
-158.0,158,101.649339
-137.0,137,101.834104
-90.0,90,101.961616
-162.0,162,102.162063
-89.0,89,102.279357
-173.0,173,102.525522
-92.0,92,102.643826
-156.0,156,102.833526
-119.0,119,103.080969
-154.0,154,103.325753
-152.0,152,103.520909
-156.0,156,103.729095
-177.0,177,103.967797
-135.0,135,104.147181
-115.0,115,104.522744
-154.0,154,104.724517
-156.0,156,105.031743
-165.0,165,105.568541
-110.0,110,105.712095
-114.0,114,105.884197
-108.0,108,106.047569
-179.0,179,106.311332
-93.0,93,106.435236
-114.0,114,106.571409
-159.0,159,106.770243
-160.0,160,106.964917
-148.0,148,107.155371
-121.0,121,107.304248
-131.0,131,107.610652
-115.0,115,107.744003
-114.0,114,107.903416
-97.0,97,108.017259
-128.0,128,108.17842
-88.0,88,108.279112
-88.0,88,108.393009
-142.0,142,108.558473
-157.0,157,108.752507
-95.0,95,108.870505
-172.0,172,109.088704
-122.0,122,109.244036
-139.0,139,109.61157
-148.0,148,109.878409
-154.0,154,110.063052
-163.0,163,110.258415
-113.0,113,110.398184
-108.0,108,110.530488
-144.0,144,110.702371
-109.0,109,110.838386
-147.0,147,111.020319
-146.0,146,111.191193
-142.0,142,111.365697
-96.0,96,111.482091
-114.0,114,111.764491
-133.0,133,111.942195
-100.0,100,112.067258
-102.0,102,112.190573
-149.0,149,112.382418
-88.0,88,112.481747
-152.0,152,112.673493
-132.0,132,112.825069
-122.0,122,112.970991
-148.0,148,113.153777
-107.0,107,113.273298
-101.0,101,113.406473
-153.0,153,113.725555
-137.0,137,114.026941
-101.0,101,114.14151
-146.0,146,114.318927
-88.0,88,114.434422
-148.0,148,114.604661
-165.0,165,114.791693
-177.0,177,114.999627
-151.0,151,115.189995
-159.0,159,115.385316
-138.0,138,115.537197
-131.0,131,115.708387
-138.0,138,115.99718
-148.0,148,116.171966
-108.0,108,116.302209
-127.0,127,116.449603
-165.0,165,116.647676
-125.0,125,116.794695
-146.0,146,116.966622
-98.0,98,117.084524
-155.0,155,117.280408
-131.0,131,117.432936
-145.0,145,117.603204
-144.0,144,117.881116
-156.0,156,118.094122
-101.0,101,118.210824
