Input; Oracle; Reward; EpisodeLength; Sensitivity; Coverage; Generation; TestExecTime; CoverageTime; RunTime
[-0.45473865, 0.        ]; False; -92.0; 92; None; None; 0; 0.030736923217773438; None; 1763881104.593097
[-0.47260767, 0.        ]; False; -101.0; 101; 503.6648481866624; None; 0; 0.11702251434326172; None; 1763881104.593097
[-0.54626536, 0.        ]; True; -200.0; 200; None; None; 0; 0.0633854866027832; None; 1763881104.721957
[-0.5460427, 0.       ]; True; -200.0; 200; 0.0; None; 0; 0.0654745101928711; None; 1763881104.7229576
[-0.6, 0. ]; False; -107.0; 107; None; None; 0; 0.033367156982421875; None; 1763881104.7948072
[-0.5918053, 0.       ]; False; -107.0; 107; 0.0; None; 0; 0.03748202323913574; None; 1763881104.7948072
[-0.5752013, 0.       ]; False; -136.0; 136; None; None; 0; 0.04118013381958008; None; 1763881104.8701737
[-0.59669447, 0.        ]; False; -107.0; 107; 1349.2641737567803; None; 0; 0.03141164779663086; None; 1763881104.871967
[-0.49655184, 0.        ]; False; -157.0; 157; None; None; 0; 0.0543975830078125; None; 1763881104.9562168
[-0.43734595, 0.        ]; False; -88.0; 88; 1165.4245945374555; None; 0; 0.02862381935119629; None; 1763881104.9562168
[-0.43927065, 0.        ]; False; -88.0; 88; None; None; 0; 0.037406206130981445; None; 1763881105.0239124
[-0.41744888, 0.        ]; False; -85.0; 85; 137.47740901945735; None; 0; 0.030289411544799805; None; 1763881105.0249133
[-0.4, 0. ]; False; -83.0; 83; None; None; 0; 0.028246641159057617; None; 1763881105.0996084
[-0.47867283, 0.        ]; False; -108.0; 108; 317.77172854836425; None; 0; 0.04488110542297363; None; 1763881105.0996084
[-0.43765223, 0.        ]; False; -88.0; 88; None; None; 0; 0.03554487228393555; None; 1763881105.1702285
[-0.4541007, 0.       ]; False; -92.0; 92; 243.18374254193097; None; 0; 0.03311562538146973; None; 1763881105.1702285
[-0.41210136, 0.        ]; False; -84.0; 84; None; None; 0; 0.03786277770996094; None; 1763881105.269257
[-0.491275, 0.      ]; False; -159.0; 159; 947.2848088948881; None; 0; 0.0601654052734375; None; 1763881105.269257
[-0.41038406, 0.        ]; False; -84.0; 84; None; None; 0; 0.03639101982116699; None; 1763881105.3384054
[-0.4129855, 0.       ]; False; -84.0; 84; 0.0; None; 0; 0.03275728225708008; None; 1763881105.3384054
[-0.4699057, 0.       ]; False; -99.0; 99; None; None; 0; 0.035967350006103516; None; 1763881105.4105477
[-0.4368293, 0.       ]; False; -88.0; 88; 332.563343124358; None; 0; 0.03617501258850098; None; 1763881105.4105477
[-0.5969996, 0.       ]; False; -107.0; 107; None; None; 0; 0.039597511291503906; None; 1763881105.4953928
[-0.5994523, 0.       ]; False; -107.0; 107; 0.0; None; 0; 0.04089212417602539; None; 1763881105.4953928
[-0.4190932, 0.       ]; False; -85.0; 85; None; None; 0; 0.0303647518157959; None; 1763881105.5717916
[-0.42851916, 0.        ]; False; -86.0; 86; 106.08990050050113; None; 0; 0.045027732849121094; None; 1763881105.5737975
[-0.5642246, 0.       ]; False; -155.0; 155; None; None; 0; 0.05843210220336914; None; 1763881105.675049
[-0.5932829, 0.       ]; False; -107.0; 107; 1651.8528953862121; None; 0; 0.041300296783447266; None; 1763881105.675049
[-0.49179918, 0.        ]; False; -159.0; 159; None; None; 0; 0.06323623657226562; None; 1763881105.7748444
[-0.4540689, 0.       ]; False; -92.0; 92; 1775.7622277092428; None; 0; 0.03555917739868164; None; 1763881105.7748444
[-0.57923824, 0.        ]; False; -133.0; 133; None; None; 0; 0.04866456985473633; None; 1763881105.8812997
[-0.56486887, 0.        ]; False; -152.0; 152; 1322.2571283982777; None; 0; 0.05779075622558594; None; 1763881105.8812997
[-0.44900352, 0.        ]; False; -91.0; 91; None; None; 0; 0.03451108932495117; None; 1763881105.9480026
[-0.42736423, 0.        ]; False; -86.0; 86; 231.0612124600947; None; 0; 0.028225421905517578; None; 1763881105.9480026
