input; oracle; reward; episode_length; sensitivity; coverage; test_exec_time; coverage_time; run_time
[3,3,2,3,2,2,3,1,2,2,2,1,1,1,3]; True; -78.65915; 112; None; None; 0.04111003875732422; None; 1760964606.8329957
[3,3,2,3,2,2,2,1,2,2,2,1,1,1,3]; True; -74.11726; 112; 4.5418853759765625; None; 0.05263328552246094; None; 1760964606.8329957
[3,1,1,3,3,2,3,1,3,1,1,1,2,2,3]; True; -85.30809; 116; None; None; 0.04168581962585449; None; 1760964606.951017
[2,1,1,3,3,1,3,1,3,1,1,1,1,2,3]; True; -55.6086; 182; 17.1470083116051; None; 0.06882333755493164; None; 1760964606.9520056
[3,1,1,3,3,3,3,2,1,3,3,1,3,1,2]; True; -83.22561; 122; None; None; 0.04616689682006836; None; 1760964607.0704892
[2,1,1,3,3,3,3,2,1,3,3,1,3,1,2]; True; -49.82017; 171; 33.40543746948242; None; 0.06429195404052734; None; 1760964607.0714679
[1,1,2,1,2,1,3,1,1,1,1,1,2,2,2]; True; -99.74808; 116; None; None; 0.04377102851867676; None; 1760964607.1635468
[1,3,1,1,2,1,2,1,3,1,3,1,2,2,1]; True; -89.327896; 109; 2.6904792360178695; None; 0.04180765151977539; None; 1760964607.1635468
[3,1,2,2,2,1,3,3,3,1,2,2,1,2,1]; True; -84.623344; 117; None; None; 0.044142961502075195; None; 1760964607.257117
[3,1,2,2,2,1,3,3,2,1,2,2,1,2,1]; True; -76.06526; 115; 8.558082580566406; None; 0.042391300201416016; None; 1760964607.257117
[3,1,3,3,1,2,3,3,2,2,1,2,3,2,2]; True; -76.13234; 110; None; None; 0.04185891151428223; None; 1760964607.3602946
[3,1,3,3,3,2,2,3,2,2,1,2,3,2,2]; True; -75.68065; 110; 0.20200221029647453; None; 0.05330371856689453; None; 1760964607.3602946
[3,1,2,1,2,3,3,2,1,1,1,2,2,3,1]; True; -72.5416; 113; None; None; 0.040056705474853516; None; 1760964607.448409
[3,1,1,1,2,2,3,1,1,1,1,2,2,3,1]; True; -85.30809; 116; 7.370734776251277; None; 0.04106020927429199; None; 1760964607.4489412
[1,2,1,2,1,3,3,2,3,2,1,1,3,3,2]; True; -89.773735; 117; None; None; 0.04209399223327637; None; 1760964607.5418441
[3,2,1,2,1,3,3,2,3,2,1,1,3,3,1]; True; -80.47842; 121; 4.15699285399587; None; 0.04423999786376953; None; 1760964607.5428429
[2,3,1,1,2,2,3,2,2,2,1,2,1,1,1]; True; -32.72602; 178; None; None; 0.06467580795288086; None; 1760964607.6596935
[1,3,1,1,2,2,3,2,2,2,1,2,1,1,1]; True; -85.447716; 119; 52.72169494628906; None; 0.045130014419555664; None; 1760964607.6596935
[2,3,1,1,1,2,1,2,3,1,3,3,3,2,1]; True; -34.127228; 171; None; None; 0.06105303764343262; None; 1760964607.7702966
[1,3,1,1,1,2,1,2,3,1,3,3,3,2,1]; True; -89.327896; 109; 55.20066833496094; None; 0.042041778564453125; None; 1760964607.7712927
[2,3,3,2,1,2,1,1,2,1,1,3,2,2,3]; True; -38.79598; 200; None; None; 0.07380318641662598; None; 1760964607.8954592
[1,3,3,2,1,1,1,1,2,1,3,3,2,2,2]; True; -90.21834; 114; 19.43582499666665; None; 0.04435920715332031; None; 1760964607.8954592
[2,1,2,1,2,3,2,3,1,2,3,1,2,3,1]; True; -46.21497; 168; None; None; 0.06335973739624023; None; 1760964608.0292962
[2,1,2,1,2,3,2,3,1,1,3,1,2,3,1]; True; -51.6733; 170; 5.458332061767578; None; 0.06291890144348145; None; 1760964608.0303211
[1,1,2,3,3,2,3,1,1,2,2,2,3,1,3]; True; -88.90777; 122; None; None; 0.04194188117980957; None; 1760964608.123536
[1,1,2,3,3,2,3,1,1,2,2,2,3,1,2]; True; -88.90777; 122; 0.0; None; 0.045198917388916016; None; 1760964608.123536
[2,3,2,1,2,3,1,1,1,3,1,3,1,1,1]; True; -37.145847; 177; None; None; 0.06479835510253906; None; 1760964608.25647
[2,3,1,1,2,3,3,1,1,3,1,3,1,1,1]; True; -33.455513; 171; 1.6503676798746636; None; 0.06215810775756836; None; 1760964608.257469
[1,3,3,3,3,2,1,3,3,1,3,3,2,1,3]; True; -99.21131; 116; None; None; 0.04149127006530762; None; 1760964608.3489506
[1,2,3,3,3,2,1,2,3,3,3,3,2,1,3]; True; -86.56012; 115; 5.164827388520169; None; 0.04397010803222656; None; 1760964608.3489506
[1,3,3,1,1,1,2,2,2,2,1,3,2,2,1]; True; -82.30441; 124; None; None; 0.04927682876586914; None; 1760964608.44597
[1,3,3,1,1,1,2,2,1,2,3,3,2,2,3]; True; -86.49567; 114; 1.3970845540364583; None; 0.041158199310302734; None; 1760964608.446971
[1,2,3,1,2,1,1,3,2,3,1,1,2,1,3]; True; -89.502884; 109; None; None; 0.04245400428771973; None; 1760964608.5409796
[1,2,3,1,2,1,1,3,2,3,1,3,1,1,3]; True; -88.0981; 120; 0.6282390206315327; None; 0.045021772384643555; None; 1760964608.5409796
[2,1,2,3,3,3,3,3,2,2,3,2,3,2,3]; True; -50.304276; 147; None; None; 0.0511322021484375; None; 1760964608.6522229
[2,1,2,3,3,3,3,3,2,2,3,2,2,2,3]; True; -50.304276; 147; 0.0; None; 0.054602861404418945; None; 1760964608.6522229
[1,3,1,1,3,1,1,3,3,2,1,3,1,1,2]; True; -92.19077; 118; None; None; 0.044324398040771484; None; 1760964608.7496734
[1,3,1,1,3,1,1,2,2,2,1,3,3,1,2]; True; -89.327896; 109; 1.168764597004176; None; 0.046120405197143555; None; 1760964608.7507021
[2,2,2,1,2,2,2,1,2,1,1,2,1,3,2]; True; -36.53256; 186; None; None; 0.06794452667236328; None; 1760964608.8951633
[2,2,2,1,2,1,2,1,2,1,1,2,1,3,2]; True; -40.27548; 184; 3.742919921875; None; 0.06600069999694824; None; 1760964608.8970737
[1,2,2,2,3,3,2,2,3,3,1,2,3,3,1]; True; -89.67193; 120; None; None; 0.04129505157470703; None; 1760964608.9917905
[1,2,2,1,3,2,2,1,2,3,1,2,3,3,1]; True; -89.67193; 120; 0.0; None; 0.043233394622802734; None; 1760964608.9928076
[2,3,3,3,3,2,2,3,1,2,2,2,2,2,1]; True; -36.76383; 164; None; None; 0.07029438018798828; None; 1760964609.1332502
[2,3,3,3,3,2,1,3,1,2,1,2,2,2,1]; True; -38.71994; 165; 1.3831799948775534; None; 0.06211352348327637; None; 1760964609.1342497
[3,1,2,3,3,2,1,2,1,3,3,3,2,3,3]; True; -75.68065; 110; None; None; 0.041903018951416016; None; 1760964609.2314925
[3,1,2,3,2,2,1,2,3,3,3,2,2,2,3]; True; -84.623344; 117; 3.380021236416752; None; 0.04881620407104492; None; 1760964609.232497
[2,2,2,3,3,1,3,3,1,2,2,1,3,1,3]; True; -45.108067; 161; None; None; 0.06392312049865723; None; 1760964609.3674245
[2,2,2,3,3,1,3,2,1,2,2,1,3,1,2]; True; -38.540962; 172; 4.643644011290488; None; 0.06500864028930664; None; 1760964609.3674245
[3,2,3,1,2,3,1,3,3,3,2,3,2,3,2]; True; -81.570145; 116; None; None; 0.04738759994506836; None; 1760964609.491911
[2,2,3,1,2,3,1,3,3,3,2,3,2,3,2]; True; -36.890697; 182; 44.679447174072266; None; 0.06983780860900879; None; 1760964609.4929404
[3,1,1,1,2,2,3,2,1,2,3,3,1,3,1]; True; -79.89645; 116; None; None; 0.0452883243560791; None; 1760964609.6087098
[2,1,1,1,2,2,3,2,1,2,3,3,1,3,1]; True; -47.30894; 144; 32.58750534057617; None; 0.06351041793823242; None; 1760964609.6087098
