#{"t_start": 1763792408.3045774, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,1.371649
-200.0,200,1.381673
-200.0,200,1.390562
-200.0,200,1.443797
-200.0,200,1.454443
-200.0,200,2.037247
-200.0,200,2.283517
-200.0,200,2.487893
-200.0,200,2.746954
-200.0,200,2.956648
-200.0,200,3.191255
-200.0,200,3.417373
-200.0,200,3.649908
-200.0,200,3.842073
-200.0,200,4.070641
-200.0,200,4.306885
-200.0,200,4.530377
-200.0,200,4.757474
-200.0,200,5.01548
-200.0,200,5.235241
-200.0,200,5.483613
-200.0,200,5.715403
-200.0,200,5.969021
-200.0,200,6.208382
-200.0,200,6.472083
-200.0,200,6.715091
-200.0,200,7.018146
-200.0,200,7.309671
-200.0,200,7.595683
-200.0,200,7.835469
-200.0,200,8.162148
-200.0,200,8.435019
-200.0,200,8.686199
-200.0,200,8.914338
-200.0,200,9.187108
-200.0,200,9.451558
-200.0,200,9.718754
-200.0,200,9.957346
-200.0,200,10.27584
-200.0,200,10.563256
-200.0,200,10.815436
-200.0,200,11.039317
-200.0,200,11.358844
-200.0,200,11.665771
-200.0,200,11.940208
-200.0,200,12.171699
-200.0,200,12.487917
-200.0,200,12.780982
-200.0,200,13.082042
-200.0,200,13.355531
-200.0,200,14.142701
-200.0,200,14.419518
-200.0,200,14.671265
-200.0,200,14.888112
-200.0,200,15.210459
-200.0,200,15.506852
-200.0,200,15.771118
-200.0,200,15.998973
-200.0,200,16.318108
-200.0,200,16.602588
-200.0,200,16.870741
-200.0,200,17.096737
-200.0,200,17.420434
-200.0,200,17.763044
-200.0,200,18.045558
-200.0,200,18.316975
-200.0,200,18.650129
-200.0,200,18.982745
-200.0,200,19.280937
-200.0,200,19.586251
-200.0,200,19.908052
-200.0,200,20.211577
-200.0,200,20.496545
-200.0,200,20.793115
-200.0,200,21.134965
-200.0,200,21.447337
-200.0,200,21.747312
-200.0,200,22.061367
-200.0,200,22.406748
-200.0,200,22.758367
-200.0,200,23.088308
-200.0,200,23.363564
-200.0,200,23.71737
-200.0,200,24.040564
-200.0,200,24.356766
-200.0,200,24.652005
-200.0,200,24.993248
-200.0,200,25.312903
-200.0,200,25.596718
-200.0,200,25.835403
-200.0,200,26.181495
-200.0,200,26.51876
-200.0,200,26.821466
-200.0,200,27.107652
-200.0,200,27.452947
-200.0,200,27.772329
-200.0,200,28.067641
-200.0,200,28.370867
-200.0,200,28.705043
-200.0,200,29.027596
-200.0,200,29.755956
